language,repository,year,interval,NLOC,CCN
c++,imgui,2017,4,23243,4.9
c++,imgui,2017,8,24390,4.9
c++,imgui,2017,12,26046,5.0
c++,imgui,2018,4,29624,5.5
c++,imgui,2018,8,29848,5.5
c++,imgui,2018,12,31324,5.6
c++,imgui,2019,4,32862,5.6
c++,imgui,2019,8,33846,5.6
c++,imgui,2019,12,34358,5.6
c++,json,2015,4,7066,5.2
c++,json,2015,8,10236,2.2
c++,json,2015,12,11246,2.4
c++,json,2016,4,13679,2.3
c++,json,2016,8,14667,2.3
c++,json,2016,12,23495,3.3
c++,json,2017,4,26098,3.4
c++,json,2017,8,27307,3.4
c++,json,2017,12,28118,3.4
c++,json,2018,4,35055,3.2
c++,json,2018,8,37235,3.1
c++,json,2018,12,38677,3.0
c++,json,2019,4,42907,2.9
c++,json,2019,8,43072,2.9
c++,json,2019,12,43127,2.9
c++,JUCE,2015,4,271053,2.3
c++,JUCE,2015,8,283829,2.3
c++,JUCE,2015,12,295048,2.3
c++,JUCE,2016,4,299986,2.3
c++,JUCE,2016,8,303198,2.3
c++,JUCE,2016,12,313440,2.3
c++,JUCE,2017,4,322638,2.3
c++,JUCE,2017,8,339108,2.3
c++,JUCE,2017,12,352772,2.3
c++,JUCE,2018,4,368264,2.3
c++,JUCE,2018,8,387016,2.3
c++,JUCE,2018,12,391416,2.3
c++,JUCE,2019,4,394392,2.3
c++,JUCE,2019,8,395980,2.3
c++,JUCE,2019,12,396742,2.3
c++,kakoune,2015,4,13086,3.5
c++,kakoune,2015,8,13685,3.6
c++,kakoune,2015,12,14510,3.8
c++,kakoune,2016,4,15492,3.6
c++,kakoune,2016,8,15955,3.6
c++,kakoune,2016,12,16434,3.6
c++,kakoune,2017,4,17238,3.6
c++,kakoune,2017,8,17798,3.6
c++,kakoune,2017,12,19359,3.8
c++,kakoune,2018,4,19855,3.8
c++,kakoune,2018,8,20506,3.8
c++,kakoune,2018,12,20917,3.8
c++,kakoune,2019,4,21322,3.8
c++,kakoune,2019,8,21425,3.8
c++,kakoune,2019,12,21665,3.8
c++,libtorrent,2015,4,87098,5.5
c++,libtorrent,2015,8,90513,4.9
c++,libtorrent,2015,12,93695,4.8
c++,libtorrent,2016,4,94663,4.6
c++,libtorrent,2016,8,95937,4.5
c++,libtorrent,2016,12,96410,4.4
c++,libtorrent,2017,4,98311,4.3
c++,libtorrent,2017,8,100347,4.3
c++,libtorrent,2017,12,103225,4.8
c++,libtorrent,2018,4,101349,4.2
c++,libtorrent,2018,8,104038,4.8
c++,libtorrent,2018,12,102435,4.2
c++,libtorrent,2019,4,96998,4.0
c++,libtorrent,2019,8,100675,4.1
c++,libtorrent,2019,12,101502,3.9
c++,Marlin,2015,4,21929,3.7
c++,Marlin,2015,8,23341,3.6
c++,Marlin,2015,12,23203,3.7
c++,Marlin,2016,4,24181,3.8
c++,Marlin,2016,8,19130,4.9
c++,Marlin,2016,12,21036,5.3
c++,Marlin,2017,4,26135,5.5
c++,Marlin,2017,8,29487,5.3
c++,Marlin,2017,12,47612,4.5
c++,Marlin,2018,4,56065,4.6
c++,Marlin,2018,8,57469,4.6
c++,Marlin,2018,12,53613,4.9
c++,Marlin,2019,4,60288,4.7
c++,Marlin,2019,8,78286,4.3
c++,Marlin,2019,12,88274,4.3
c++,mongo,2015,4,766491,2.3
c++,mongo,2015,8,851236,2.4
c++,mongo,2015,12,874019,2.4
c++,mongo,2016,4,1184531,2.7
